,province,country,latitude,longitude,confirmed_cases,deaths,recovered,data_source,country_code,region,country_flag,Observation Date
233,Shanxi,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
235,Gansu,China,35.86166,104.195397,7,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
236,Inner Mongolia,China,35.86166,104.195397,7,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
237,Hong Kong,China,35.86166,104.195397,6,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
238,Guizhou,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
239,Macau,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
240,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
241,Xinjiang,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
242,Ningxia,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
248,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
252,Qinghai,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
254,Hubei,China,35.86166,104.195397,1052,52.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
255,Guangdong,China,35.86166,104.195397,111,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
256,Zhejiang,China,35.86166,104.195397,104,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
257,Henan,China,35.86166,104.195397,83,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
258,Chongqing,China,35.86166,104.195397,75,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
259,Hunan,China,35.86166,104.195397,69,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
260,Beijing,China,35.86166,104.195397,68,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
261,Anhui,China,35.86166,104.195397,60,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
262,Jiangxi,China,35.86166,104.195397,48,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
263,Shandong,China,35.86166,104.195397,46,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
264,Sichuan,China,35.86166,104.195397,44,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
265,Shanghai,China,35.86166,104.195397,40,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
266,Guangxi,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-26
